epoch,avg_loss
0,2.8604649699029662e-09
1,1.4322810693042838e-09
2,1.253648255966501e-09
3,1.161000127364792e-09
4,1.1076038030255224e-09
5,1.0736597690952114e-09
6,1.039826112212666e-09
7,1.0100318304261247e-09
8,9.913928987653032e-10
9,9.76107408644304e-10
10,9.642531815168151e-10
11,9.600249533914753e-10
12,9.407368707094055e-10
13,9.294726732340714e-10
14,9.17626449711342e-10
15,9.093397584057145e-10
16,9.036593514972756e-10
17,8.97776497593975e-10
18,8.919268157885615e-10
19,8.878617021466486e-10
20,8.835355219557667e-10
21,8.756288812011691e-10
22,8.704792805787868e-10
23,8.631885673636689e-10
24,8.579692518656566e-10
25,8.55481752923211e-10
26,8.51276880930116e-10
27,8.495406893550255e-10
28,8.448321809198005e-10
29,8.419306172493886e-10
30,8.427364351046186e-10
31,8.41122019423404e-10
32,8.410146893370413e-10
33,8.398878835680984e-10
34,8.374103158453412e-10
35,8.348573537351528e-10
36,8.315216805873864e-10
37,8.301544138225451e-10
38,8.281246711169323e-10
39,8.261738734249595e-10
40,8.256039077397646e-10
41,8.249449846347088e-10
42,8.226185770381254e-10
43,8.223716141827869e-10
44,8.209390011485331e-10
45,8.202596690851372e-10
46,8.192462070637394e-10
47,8.172724411878268e-10
48,8.155912395122252e-10
49,8.159976442908312e-10
50,8.158235594514813e-10
51,8.142856392628937e-10
52,8.120775890933208e-10
53,8.11004660865601e-10
54,8.104607914608974e-10
55,8.078658775459169e-10
56,8.115084082455313e-10
57,8.114694952321045e-10
58,8.095833901551882e-10
59,8.103722361712927e-10
60,8.091582487580481e-10
61,8.090116038876895e-10
62,8.078056938150742e-10
63,8.080203691974288e-10
64,8.060358212361346e-10
65,8.07003405261742e-10
66,8.070721676857454e-10
67,8.057084857173939e-10
68,8.040204209022817e-10
69,8.051082255344412e-10
70,8.035887734836072e-10
71,8.042990240506173e-10
72,8.047860159175628e-10
73,8.035647230523561e-10
74,8.033525088037717e-10
75,8.045755538593361e-10
76,8.004476582092308e-10
77,8.00863164255072e-10
78,8.014107433704812e-10
79,8.006698501285324e-10
80,7.999288609014932e-10
81,7.995242590291358e-10
82,7.982834239489015e-10
83,7.976689704074452e-10
84,7.979878844677025e-10
85,7.979478652620758e-10
86,7.970969779364302e-10
87,7.964526459525042e-10
88,7.960714052993959e-10
89,7.955950085832711e-10
90,7.948150229467655e-10
91,7.931541487860518e-10
92,7.931060932441332e-10
93,7.932827881277416e-10
94,7.943331138192219e-10
95,7.920152850185671e-10
96,7.946919028505507e-10
97,7.926595935714431e-10
98,7.917510619063764e-10
99,7.915381119947612e-10
