epoch,avg_loss
0,1.1433108448866136e-07
1,4.35975130858024e-08
2,3.8590280665440346e-08
3,3.626344689811045e-08
4,3.433970303945433e-08
5,3.3003920582586055e-08
6,3.21589766760777e-08
7,3.1515692180961175e-08
8,3.091573858721164e-08
9,3.026370072600759e-08
10,2.968136980641134e-08
11,2.9021380333615898e-08
12,2.870960568585046e-08
13,2.8367438821563784e-08
14,2.8161613964405863e-08
15,2.7932603612057516e-08
16,2.772649757704082e-08
17,2.7526910716113573e-08
18,2.7353404333241294e-08
19,2.721514119619073e-08
20,2.7022613216520774e-08
21,2.6909109343553617e-08
22,2.6708518535700776e-08
23,2.6637843847376885e-08
24,2.658128329252607e-08
25,2.6550739530561973e-08
26,2.6401795603925304e-08
27,2.6286789633900298e-08
28,2.6282162716995128e-08
29,2.6168741909526894e-08
30,2.607427667528084e-08
31,2.5971005221392396e-08
32,2.5941591645650686e-08
33,2.5805556781721695e-08
34,2.568651997353344e-08
35,2.5561113808914016e-08
36,2.5431172272216696e-08
37,2.538289056025489e-08
38,2.520476032052965e-08
39,2.516966489396477e-08
40,2.508951657542724e-08
41,2.500007736938592e-08
42,2.4875804076340824e-08
43,2.48177380798853e-08
44,2.4684468774571755e-08
45,2.467702385489101e-08
46,2.456351221036268e-08
47,2.455194440115216e-08
48,2.4387635945422037e-08
49,2.439508747786867e-08
50,2.423771459925117e-08
51,2.4201427022141342e-08
52,2.421238994715358e-08
53,2.4145876596770588e-08
54,2.403181111054753e-08
55,2.4005994907205785e-08
56,2.3962791403930872e-08
57,2.3924424330523664e-08
58,2.3935828451226993e-08
59,2.3942828213108225e-08
60,2.3816496989848002e-08
61,2.3773176309471733e-08
62,2.3742049513886254e-08
63,2.3717195922479117e-08
64,2.3624646038056252e-08
65,2.366246570212338e-08
66,2.360394131539767e-08
67,2.3564935246189744e-08
68,2.3495803504192114e-08
69,2.352592615856297e-08
70,2.348626538389853e-08
71,2.3456928996412607e-08
72,2.3437121840497177e-08
73,2.349510356408624e-08
74,2.339150625974007e-08
75,2.3348448986715287e-08
76,2.3351524672254875e-08
77,2.3252069103474327e-08
78,2.325497841515478e-08
79,2.326687930515048e-08
80,2.3241818948582793e-08
81,2.3259428931499126e-08
82,2.3171741476979424e-08
83,2.3123327454188658e-08
84,2.3097366796953622e-08
85,2.319442010678685e-08
86,2.3063834349301704e-08
87,2.31321834673337e-08
88,2.301282806677074e-08
89,2.30736944689669e-08
90,2.3014341675453576e-08
91,2.2958602512168635e-08
92,2.297355354563546e-08
93,2.2933816491710335e-08
94,2.2918965149332227e-08
95,2.2914859953981903e-08
96,2.2911991887086813e-08
97,2.29077563515534e-08
98,2.2927839619935053e-08
99,2.2882972336435436e-08
