epoch,avg_loss
0,1.5003392373137612e-07
1,1.2778042778659856e-07
2,1.125349485564678e-07
3,1.0460568514920997e-07
4,1.0493612094117859e-07
5,1.0968891134607174e-07
6,1.1150516057351478e-07
7,1.0954038387832626e-07
8,1.0614027463607967e-07
9,1.0329603082566682e-07
10,1.0184928841698716e-07
11,1.0170507101339886e-07
12,1.0228420636353329e-07
13,1.0292749819948693e-07
14,1.0318759285878065e-07
15,1.0291194801938557e-07
16,1.0216135477455981e-07
17,1.0110887253255996e-07
18,9.996338441982578e-08
19,9.891181732843463e-08
20,9.807218140543003e-08
21,9.745798250253741e-08
22,9.696689349725782e-08
23,9.641150778146897e-08
24,9.559345170023769e-08
25,9.438699536832111e-08
26,9.278233781790978e-08
27,9.086640359633814e-08
28,8.876084131234402e-08
29,8.65540515626308e-08
30,8.425501610760823e-08
31,8.177616831846637e-08
32,7.894322366597244e-08
33,7.554723998171193e-08
34,7.145321779040532e-08
35,6.672510693096016e-08
36,6.166106199564724e-08
37,5.667554288675976e-08
38,5.209488566914421e-08
39,4.814445725056753e-08
40,4.5461390650991616e-08
41,4.517515146725127e-08
42,4.657777107017112e-08
43,4.756409677945691e-08
44,4.766521723159677e-08
45,4.578905885039354e-08
46,4.242678075347184e-08
47,3.924809367705382e-08
48,3.66898713330994e-08
49,3.461354589697976e-08
50,3.3258421872627667e-08
51,3.246933326026102e-08
52,3.168921164781044e-08
53,3.0711031885979254e-08
54,2.955842552516355e-08
55,2.8070073284774617e-08
56,2.615426821752276e-08
57,2.40341520867513e-08
58,2.188644305808998e-08
59,1.9697269957594574e-08
60,1.7681373982637662e-08
61,1.6055437335511932e-08
62,1.467624355860737e-08
63,1.3536588608472897e-08
64,1.2493423005583362e-08
65,1.1464661799472573e-08
66,1.0708723410869692e-08
67,1.023939598594195e-08
68,1.0180591101615863e-08
69,1.0259880783589703e-08
70,1.0164984647132322e-08
71,9.818610289572167e-09
72,9.323704774143113e-09
73,8.942067597159958e-09
74,8.672581573756618e-09
75,8.497158641448086e-09
76,8.318584343736955e-09
77,8.122423840326245e-09
78,7.96608438129587e-09
79,7.853097414760918e-09
80,7.802067620485506e-09
81,7.736250117860865e-09
82,7.604520553198887e-09
83,7.395159555775942e-09
84,7.121124993989253e-09
85,6.853783854825094e-09
86,6.627560838424186e-09
87,6.4627257927449394e-09
88,6.348280766192771e-09
89,6.250234186863645e-09
90,6.160773140941806e-09
91,6.0659692575699794e-09
92,5.976072315818888e-09
93,5.8859193717553775e-09
94,5.78698116635435e-09
95,5.67166757700167e-09
96,5.535158841242454e-09
97,5.39491016539479e-09
98,5.263059749190733e-09
99,5.155169304367333e-09
